,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1306,현대 NF쏘나타 2.0,203,82600,2,1998,검정색,,,,,,,,,,,1,,,,,,,,,,3000000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159464&gubun=K
1307,현대 쏘나타 뉴,63,75768,2,1999,진회색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,15900000,58,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157193&gubun=K
1308,현대 쏘나타 2.0,33,20100,2,1999,흰색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,3000000,소유,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157628&gubun=K
1309,현대 NF쏘나타 트랜스폼,174,141605,1,1998,흰색,,,,,,,,,,,0,,,,,,,,,,1700000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2134048&gubun=K
1310,현대 쏘나타 ,420,223000,2,1796,은하늘색,,,,,,,,,,,0,,,,,,,,,,3900000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154111&gubun=K
1311,현대 쏘나타 더,129,108000,1,1999,진회색,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,,,,,,7300000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153708&gubun=K
1312,현대 쏘나타 뉴,59,130753,1,1999,검정색,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,13500000,59,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2135513&gubun=K
1313,현대 쏘나타2 ,338,170800,2,1796,은색,,,,,,,,,,,0,,,,,,,,,,1900000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148731&gubun=K
1314,현대 제네시스 DH,74,87127,2,3342,갈색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1227493,0.0,0,22990000,42,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147855&gubun=K
1315,현대 제네시스 DH,90,133721,2,3342,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22990000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162521&gubun=K
